Date,Not indexed,Indexed,Impressions
2026-07-10,14,1,1
2026-07-11,36,62,1
2026-07-12,36,62,0
2026-07-13,36,62,0
2026-07-14,36,62,0
2026-07-15,36,62,0
2026-07-16,36,62,0
2026-07-17,36,62,0
2026-07-18,36,62,0
2026-07-19,36,62,0
2026-07-20,36,62,0
2026-07-21,36,62,0
2026-07-22,36,62,0
2026-07-23,36,62,0
2026-07-24,36,62,0
2026-07-25,271,899,0
2026-07-26,271,899,0
2026-07-27,271,899,3
2026-07-28,271,899,1
2026-07-29,271,899,0
2026-07-30,271,899,1
2026-07-31,271,899,0
2026-08-01,271,899,0
2026-08-02,271,899,0
2026-08-03,271,899,1
2026-08-04,271,899,6
2026-08-05,271,899,2
2026-08-06,433,1047,6
2026-08-07,433,1047,0
